keep,place_id,name,rating,review_count,price_level,primary_type,types,areas,queries,address,maps_url
"","ChIJmVvZEADzMEARhG4QgjlI2i8","Gloria Jean's (Chiller + Coffee House)","3.6","18","","Coffee shop","Coffee shop|Coffee shop","centre","coffee shop","HXRJ+VP7 Sea Breeze, Nardaran, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Gloria%20Jean's%20(Chiller%20%2B%20Coffee%20House)&query_place_id=ChIJmVvZEADzMEARhG4QgjlI2i8"
"","ChIJTVYE_g5fMEARw33t1KUxWB4","Şüvəlan PUB","4.8","17","","Bar","Bar|Bar","centre","pub","F5M9+526, Mardakan, Azerbaijan","https://www.google.com/maps/search/?api=1&query=%C5%9E%C3%BCv%C9%99lan%20PUB&query_place_id=ChIJTVYE_g5fMEARw33t1KUxWB4"
"","ChIJy_4yHgCHMEARGmiAHAzV2r8","Chaynik Terrace Garden","4.8","17","","Family restaurant","Family restaurant|Family restaurant","centre","seafood restaurant","63 Mir Jalal, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Chaynik%20Terrace%20Garden&query_place_id=ChIJy_4yHgCHMEARGmiAHAzV2r8"
"","ChIJSasOfZBfMEAR5WC2uazfGA4","My Garden","4.8","17","","Family restaurant","Family restaurant|Family restaurant","Mardakan, Azerbaijan","restaurant","F49R+QPJ, Mardakan, Azerbaijan","https://www.google.com/maps/search/?api=1&query=My%20Garden&query_place_id=ChIJSasOfZBfMEAR5WC2uazfGA4"
"","ChIJDcQEGqh_MEARxgNCNf9tdRI","Delfin Restoran","4.3","17","","Restaurant","Restaurant|Restaurant","centre","sea view restaurant","8Q4R+24W, Salyan Hwy, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Delfin%20Restoran&query_place_id=ChIJDcQEGqh_MEARxgNCNf9tdRI"
"","ChIJS1MOcUSTMEARAUUiqd6oqJ0","Georgian Point Mardakan","4.3","17","","Restaurant","Restaurant|Restaurant","centre","live music restaurant","bakı 0119, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Georgian%20Point%20Mardakan&query_place_id=ChIJS1MOcUSTMEARAUUiqd6oqJ0"
"","ChIJEcNVCwD1MEAR12fR0CLrBCA","Delmar Boutique Lounge","4.2","17","","Restaurant","Restaurant|Restaurant","centre","burger","G4FC+5CP, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Delmar%20Boutique%20Lounge&query_place_id=ChIJEcNVCwD1MEAR12fR0CLrBCA"
"","ChIJk9rRgR19MEARkls2AfN7pg4","Escape karaoke","3.2","17","","Night club","Night club|Night club","centre","karaoke","127 Fatali Khan Khoyski, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Escape%20karaoke&query_place_id=ChIJk9rRgR19MEARkls2AfN7pg4"
"","ChIJKxXWegBjMEARTl63I5-nm3A","Azerbaijani food","5","16","","Azerbaijani restaurant","Azerbaijani restaurant|Azerbaijani restaurant","centre","Azerbaijani restaurant","C285+5CR Ateshgah of Baku, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Azerbaijani%20food&query_place_id=ChIJKxXWegBjMEARTl63I5-nm3A"
"","ChIJQWbpS_B9MEARIGuVS_3FRYY","Reina Karaoke Baku","4.8","16","","Karaoke bar","Karaoke bar|Karaoke bar","centre","karaoke","26 Samad Vurgun, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Reina%20Karaoke%20Baku&query_place_id=ChIJQWbpS_B9MEARIGuVS_3FRYY"
